name,path,status,issues
20250510_2227_Crimsun's Celestial Display_simple_compose_01jtywy4mxfcva3a2j6sswwak5.png,20250510_2227_Crimsun's Celestial Display_simple_compose_01jtywy4mxfcva3a2j6sswwak5.png,ok,['Non-standard file type']
Aeras_Depth_Infinite_Stream_ah.md,Aeras_Depth_Infinite_Stream_ah.md,ok,[]
Aeras_Depth_Infinite_Stream_frac.md,Aeras_Depth_Infinite_Stream_frac.md,ok,[]
Aeras_Depth_Stream_mv1.md,Aeras_Depth_Stream_mv1.md,ok,[]
Conglomerate,Conglomerate,ok,['Non-standard file type']
Crimsun_Depth6_Canon_Mount.md,Crimsun_Depth6_Canon_Mount.md,ok,['Invalid or missing suffix']
Crimsun_Depth_Infinite_Stream.md,Crimsun_Depth_Infinite_Stream.md,ok,['Invalid or missing suffix']
Crimsun_Harmony_Compilation_Depth6.md,Crimsun_Harmony_Compilation_Depth6.md,ok,['Invalid or missing suffix']
Crimsun_RSAD_Entry.md,Crimsun_RSAD_Entry.md,ok,['Invalid or missing suffix']
Crydon_Depth_Infinite_Stream_ah.md,Crydon_Depth_Infinite_Stream_ah.md,ok,[]
Crydon_Depth_Infinite_Stream_frac.md,Crydon_Depth_Infinite_Stream_frac.md,ok,[]
Crydon_Depth_Stream_mv1.md,Crydon_Depth_Stream_mv1.md,ok,[]
Crypt protocols.txt,Crypt protocols.txt,ok,[]
Emberline_Depth_Infinite_Stream.md,Emberline_Depth_Infinite_Stream.md,ok,['Invalid or missing suffix']
Emberline_Depth_Infinite_Stream2.md,Emberline_Depth_Infinite_Stream2.md,ok,"['Invalid or missing suffix', 'Possible corrupted or redundant filename']"
Harenae_Depth_Infinite_Stream_ah.md,Harenae_Depth_Infinite_Stream_ah.md,ok,[]
Harenae_Depth_Infinite_Stream_frack.md,Harenae_Depth_Infinite_Stream_frack.md,ok,"['Invalid or missing suffix', 'Possible corrupted or redundant filename']"
Harenae_Depth_Stream_mv1.md,Harenae_Depth_Stream_mv1.md,ok,[]
Lighthouse_Depth_Infinite_Stream_ah.md,Lighthouse_Depth_Infinite_Stream_ah.md,ok,[]
Lighthouse_Depth_Infinite_Stream_frac.md,Lighthouse_Depth_Infinite_Stream_frac.md,ok,[]
Lighthouse_Depth_Stream_mv1.md,Lighthouse_Depth_Stream_mv1.md,ok,[]
Lyvianne_Depth_Infinite_Stream_ah.md,Lyvianne_Depth_Infinite_Stream_ah.md,ok,[]
Lyvianne_Depth_Infinite_Stream_frac.md,Lyvianne_Depth_Infinite_Stream_frac.md,ok,[]
Lyvianne_Depth_Stream_mv1.md,Lyvianne_Depth_Stream_mv1.md,ok,[]
Nexovar_Depth_Infinite_Stream_ah.md,Nexovar_Depth_Infinite_Stream_ah.md,ok,[]
Nexovar_Depth_Infinite_Stream_frac.md,Nexovar_Depth_Infinite_Stream_frac.md,ok,[]
Nexovar_Depth_Stream_mv1.md,Nexovar_Depth_Stream_mv1.md,ok,[]
Old_Ranger_Command.md,Old_Ranger_Command.md,ok,['Invalid or missing suffix']
Rangers_Depth_Infinite_Stream_frac.md,Rangers_Depth_Infinite_Stream_frac.md,ok,[]
Rangers_of_the_Forge_Depth_Stream_mv1.md,Rangers_of_the_Forge_Depth_Stream_mv1.md,ok,[]
Ranger_Raw_Data_Depth_Infinite_Stream_ah.md,Ranger_Raw_Data_Depth_Infinite_Stream_ah.md,ok,[]
Rook's Folly,Rook's Folly,ok,['Non-standard file type']
RSAD-Coreworlds_VaelusSolariiCaldraxAransasTT.md,RSAD-Coreworlds_VaelusSolariiCaldraxAransasTT.md,ok,['Invalid or missing suffix']
RSAD-PO004.1_LyvianneTT.md,RSAD-PO004.1_LyvianneTT.md,ok,['Invalid or missing suffix']
RSAD-PO004_Nexovar.txt,RSAD-PO004_Nexovar.txt,ok,[]
RSAD-PO004_NexovarTT.md,RSAD-PO004_NexovarTT.md,ok,['Invalid or missing suffix']
RSAD-PO007_HarenaeTT.md,RSAD-PO007_HarenaeTT.md,ok,['Invalid or missing suffix']
RSAD-PO008_CrydonTT.md,RSAD-PO008_CrydonTT.md,ok,['Invalid or missing suffix']
RSAD-PO009_Shard_DriftTT.md,RSAD-PO009_Shard_DriftTT.md,ok,['Invalid or missing suffix']
